nodeA,nodeB,distance,time,link_status
0,1,18.6401,1,1
0,2,40.2639,1,1
0,3,60.6103,1,1
0,4,80.4021,1,1
0,5,98.7392,1,1
0,6,118.87,1,0
0,7,137.99,1,0
0,8,158.645,1,0
0,9,179.093,1,0
0,10,19.6955,1,1
0,11,28.9073,1,1
0,12,42.0954,1,1
0,13,61.4809,1,1
0,14,80.0018,1,1
0,15,103.431,1,0
0,16,122.02,1,0
0,17,140.439,1,0
0,18,158.873,1,0
0,19,179.163,1,0
0,20,38.7266,1,1
0,21,43.5631,1,1
0,22,53.2696,1,1
0,23,72.5129,1,1
0,24,88.5741,1,1
0,25,106.536,1,0
0,26,125.402,1,0
0,27,144.953,1,0
0,28,163.336,1,0
0,29,186.447,1,0
0,30,57.1432,1,1
0,31,63.6722,1,1
0,32,70.8028,1,1
0,33,83.4372,1,1
0,34,99.5918,1,1
0,35,114.24,1,0
0,36,132.992,1,0
0,37,151.651,1,0
0,38,171.456,1,0
0,39,187.632,1,0
0,40,78.4076,1,1
0,41,79.8301,1,1
0,42,90.2276,1,1
0,43,97.0153,1,1
0,44,112.966,1,0
0,45,128.286,1,0
0,46,142.511,1,0
0,47,159.84,1,0
0,48,177.535,1,0
0,49,195.699,1,0
1,2,21.625,1,1
1,3,41.9736,1,1
1,4,61.762,1,1
1,5,80.0994,1,1
1,6,100.23,1,0
1,7,119.35,1,0
1,8,140.005,1,0
1,9,160.453,1,0
1,10,25.9128,1,1
1,11,20.5273,1,1
1,12,27.2128,1,1
1,13,44.321,1,1
1,14,62.1843,1,1
1,15,85.1875,1,1
1,16,103.678,1,0
1,17,121.941,1,0
1,18,140.412,1,0
1,19,160.648,1,0
1,20,42.6953,1,1
1,21,39.3491,1,1
1,22,42.5139,1,1
1,23,57.6305,1,1
1,24,72.4397,1,1
1,25,89.4053,1,1
1,26,107.826,1,0
1,27,127.046,1,0
1,28,145.267,1,0
1,29,168.279,1,0
1,30,59.8227,1,1
1,31,60.9672,1,1
