time,nodeId,x,y,neighbor_count,avg_neighbor_rssi_dbm
1.000,0,970.679,29.325,4,-37.434
1.000,1,955.728,213.583,6,-45.340
1.000,2,670.792,342.642,6,-42.932
1.000,3,606.337,591.431,8,-41.348
1.000,4,124.872,313.272,1,-46.194
1.000,5,347.405,647.426,5,-44.930
1.000,6,484.749,390.904,7,-44.932
1.000,7,823.634,83.931,5,-38.507
1.000,8,658.243,177.536,7,-39.911
1.000,9,902.644,52.095,7,-41.492
1.000,10,386.640,757.138,6,-44.755
1.000,11,850.727,247.334,10,-42.647
1.000,12,236.250,857.498,5,-41.447
1.000,13,699.037,600.246,6,-39.062
1.000,14,970.395,502.720,3,-37.144
1.000,15,544.438,587.631,7,-42.686
1.000,16,834.938,896.840,5,-35.313
1.000,17,792.842,601.425,6,-40.044
1.000,18,593.224,842.703,5,-38.361
1.000,19,827.720,864.272,6,-43.638
1.000,20,404.101,965.349,3,-46.872
1.000,21,63.340,799.812,1,-44.728
1.000,22,750.225,388.721,6,-42.477
1.000,23,455.914,617.885,10,-45.503
1.000,24,113.279,9.836,1,-48.208
1.000,25,601.300,846.463,5,-40.367
1.000,26,238.452,447.542,4,-46.268
1.000,27,264.335,211.083,7,-42.246
1.000,28,267.835,127.028,5,-43.451
1.000,29,341.091,463.457,7,-45.540
1.000,30,139.529,751.257,5,-44.206
1.000,31,347.184,307.435,6,-33.857
1.000,32,110.278,160.194,4,-43.877
1.000,33,163.900,89.457,4,-42.836
1.000,34,456.811,724.461,8,-43.794
1.000,35,894.933,33.987,6,-39.851
1.000,36,763.916,770.037,5,-45.750
1.000,37,337.363,363.351,8,-42.239
1.000,38,157.037,678.613,5,-46.533
1.000,39,358.279,317.611,7,-35.450
1.000,40,411.991,12.643,3,-42.269
1.000,41,819.452,330.969,11,-41.449
1.000,42,552.018,224.654,6,-44.151
1.000,43,927.323,833.499,4,-50.341
1.000,44,700.310,586.323,6,-38.664
1.000,45,85.751,577.365,5,-34.921
1.000,46,327.004,606.523,4,-44.748
1.000,47,900.943,359.993,9,-41.291
1.000,48,832.707,262.724,12,-44.537
1.000,49,858.750,376.150,10,-37.945
1.000,50,64.695,630.157,6,-41.451
1.000,51,166.649,527.557,5,-41.711
1.000,52,209.761,910.732,4,-38.977
1.000,53,495.979,762.028,7,-44.674
1.000,54,703.882,822.901,5,-43.813
1.000,55,597.509,313.625,6,-43.949
1.000,56,100.383,562.556,5,-35.407
1.000,57,396.374,829.753,6,-42.619
1.000,58,673.677,155.930,5,-39.535
1.000,59,834.666,915.137,4,-35.115
1.000,60,601.165,165.237,7,-45.281
1.000,61,830.800,119.673,8,-43.495
1.000,62,433.700,7.536,3,-39.299
1.000,63,494.825,611.836,7,-42.303
1.000,64,914.299,543.341,3,-44.217
1.000,65,137.274,983.624,2,-44.513
1.000,66,446.441,443.352,5,-40.453
1.000,67,525.150,492.665,7,-45.863
1.000,68,335.389,545.570,6,-43.842
1.000,69,88.107,594.492,5,-37.877
1.000,70,678.603,630.840,7,-40.609
1.000,71,386.224,149.220,6,-47.098
1.000,72,704.916,193.064,8,-42.040
1.000,73,524.603,731.970,8,-43.736
1.000,74,455.241,474.925,8,-43.622
1.000,75,298.677,918.703,6,-44.435
1.000,76,449.488,278.089,7,-45.426
1.000,77,934.651,277.399,9,-43.716
1.000,78,942.891,377.125,7,-44.458
1.000,79,780.260,402.818,8,-44.385
1.000,80,347.966,803.097,6,-41.530
1.000,81,648.712,846.600,4,-35.747
1.000,82,646.610,313.162,7,-44.924
1.000,83,218.412,874.343,6,-41.190
1.000,84,341.510,310.063,6,-35.278
1.000,85,880.890,957.980,4,-40.543
1.000,86,488.327,988.637,1,-42.637
1.000,87,313.995,166.042,5,-41.991
1.000,88,901.453,86.439,8,-42.715
1.000,89,743.072,632.244,7,-37.283
1.000,90,162.697,208.593,6,-46.689
1.000,91,997.475,71.570,5,-44.385
1.000,92,849.703,183.441,10,-46.466
1.000,93,4.788,213.305,2,-38.494
1.000,94,518.647,61.932,3,-43.916
1.000,95,27.123,160.923,3,-46.514
1.000,96,850.236,351.032,10,-42.106
1.000,97,718.344,222.317,10,-45.667
1.000,98,913.094,454.769,7,-44.796
1.000,99,736.764,620.858,6,-36.360
2.000,0,970.679,29.325,4,-37.922
2.000,1,955.728,213.583,6,-47.114
2.000,2,670.792,342.642,6,-42.749
2.000,3,606.337,591.431,8,-43.747
2.000,4,124.872,313.272,1,-37.035
2.000,5,347.405,647.426,5,-43.416
2.000,6,484.749,390.904,7,-47.794
2.000,7,823.634,83.931,5,-39.101
2.000,8,658.243,177.536,7,-39.852
2.000,9,902.644,52.095,7,-38.189
2.000,10,386.640,757.138,6,-41.924
2.000,11,850.727,247.334,10,-43.393
2.000,12,236.250,857.498,5,-39.979
2.000,13,699.037,600.246,6,-35.457
2.000,14,970.395,502.720,3,-38.446
2.000,15,544.438,587.631,7,-42.624
2.000,16,834.938,896.840,5,-40.814
2.000,17,792.842,601.425,6,-44.381
2.000,18,593.224,842.703,5,-37.544
2.000,19,827.720,864.272,6,-41.545
2.000,20,404.101,965.349,3,-43.993
2.000,21,63.340,799.812,1,-39.903
2.000,22,750.225,388.721,6,-38.987
2.000,23,455.914,617.885,10,-45.880
2.000,24,113.279,9.836,1,-44.917
2.000,25,601.300,846.463,5,-37.980
2.000,26,238.452,447.542,4,-43.303
2.000,27,264.335,211.083,7,-43.945
2.000,28,267.835,127.028,5,-46.040
2.000,29,341.091,463.457,7,-45.425
2.000,30,139.529,751.257,5,-46.702
2.000,31,347.184,307.435,6,-33.468
2.000,32,110.278,160.194,4,-39.949
2.000,33,163.900,89.457,4,-43.516
2.000,34,456.811,724.461,8,-42.913
2.000,35,894.933,33.987,6,-38.955
2.000,36,763.916,770.037,5,-47.050
2.000,37,337.363,363.351,8,-43.088
2.000,38,157.037,678.613,5,-43.610
2.000,39,358.279,317.611,7,-37.348
2.000,40,411.991,12.643,3,-38.898
2.000,41,819.452,330.969,11,-42.928
2.000,42,552.018,224.654,6,-43.437
2.000,43,927.323,833.499,4,-44.371
2.000,44,700.310,586.323,6,-35.245
2.000,45,85.751,577.365,5,-37.745
2.000,46,327.004,606.523,4,-40.448
2.000,47,900.943,359.993,9,-40.913
2.000,48,832.707,262.724,12,-44.752
2.000,49,858.750,376.150,10,-42.396
2.000,50,64.695,630.157,6,-40.026
2.000,51,166.649,527.557,5,-46.048
2.000,52,209.761,910.732,4,-42.175
2.000,53,495.979,762.028,7,-45.220
2.000,54,703.882,822.901,5,-42.207
2.000,55,597.509,313.625,6,-46.575
2.000,56,100.383,562.556,5,-38.098
2.000,57,396.374,829.753,6,-44.374
2.000,58,673.677,155.930,5,-36.893
2.000,59,834.666,915.137,4,-35.296
2.000,60,601.165,165.237,7,-43.743
2.000,61,830.800,119.673,8,-43.171
2.000,62,433.700,7.536,3,-42.365
2.000,63,494.825,611.836,7,-42.814
2.000,64,914.299,543.341,3,-45.262
2.000,65,137.274,983.624,2,-45.829
2.000,66,446.441,443.352,5,-38.327
2.000,67,525.150,492.665,7,-48.147
2.000,68,335.389,545.570,6,-45.987
2.000,69,88.107,594.492,5,-36.520
2.000,70,678.603,630.840,7,-39.962
2.000,71,386.224,149.220,6,-47.632
2.000,72,704.916,193.064,8,-41.949
2.000,73,524.603,731.970,8,-44.017
2.000,74,455.241,474.925,8,-43.737
2.000,75,298.677,918.703,6,-44.935
2.000,76,449.488,278.089,7,-46.011
2.000,77,934.651,277.399,9,-44.641
2.000,78,942.891,377.125,7,-41.532
2.000,79,780.260,402.818,8,-43.655
2.000,80,347.966,803.097,6,-43.469
2.000,81,648.712,846.600,4,-38.325
2.000,82,646.610,313.162,7,-43.598
2.000,83,218.412,874.343,6,-38.864
2.000,84,341.510,310.063,6,-34.388
2.000,85,880.890,957.980,4,-40.515
2.000,86,488.327,988.637,1,-42.207
2.000,87,313.995,166.042,5,-41.763
2.000,88,901.453,86.439,8,-41.831
2.000,89,743.072,632.244,7,-36.954
2.000,90,162.697,208.593,6,-43.466
2.000,91,997.475,71.570,5,-43.632
2.000,92,849.703,183.441,10,-46.202
2.000,93,4.788,213.305,2,-39.305
2.000,94,518.647,61.932,3,-42.500
2.000,95,27.123,160.923,3,-40.708
2.000,96,850.236,351.032,10,-37.381
2.000,97,718.344,222.317,10,-43.500
2.000,98,913.094,454.769,7,-45.154
2.000,99,736.764,620.858,6,-33.259
3.000,0,968.912,29.460,4,-39.554
3.000,1,931.172,233.264,8,-47.024
3.000,2,677.604,352.054,8,-43.353
3.000,3,625.249,552.310,8,-43.749
3.000,4,179.590,328.569,2,-48.391
3.000,5,367.289,618.411,5,-44.357
3.000,6,476.298,336.426,10,-45.283
3.000,7,823.329,84.791,5,-42.997
3.000,8,669.289,214.279,9,-40.667
3.000,9,936.380,87.184,8,-44.766
3.000,10,376.460,741.269,6,-45.595
3.000,11,844.511,302.741,10,-39.774
3.000,12,206.373,893.099,6,-41.741
3.000,13,749.832,580.204,6,-42.119
3.000,14,932.985,531.358,4,-39.715
3.000,15,532.273,582.608,7,-42.481
3.000,16,804.213,845.750,6,-39.890
3.000,17,797.212,542.224,8,-46.692
3.000,18,609.960,829.506,5,-29.471
3.000,19,820.068,828.907,6,-40.174
3.000,20,409.927,956.771,3,-47.991
3.000,21,97.188,791.966,3,-45.177
3.000,22,714.793,418.927,9,-46.214
3.000,23,460.548,612.806,8,-43.877
3.000,24,120.838,15.094,1,-46.232
3.000,25,606.195,830.297,6,-34.622
3.000,26,268.362,497.329,5,-44.923
3.000,27,265.645,211.716,8,-42.941
3.000,28,278.591,146.097,6,-44.141
3.000,29,373.452,494.290,8,-42.775
3.000,30,164.476,761.641,6,-44.105
3.000,31,369.858,300.817,9,-44.362
3.000,32,145.142,177.457,6,-44.314
3.000,33,166.030,110.121,6,-48.884
3.000,34,507.422,747.416,9,-45.703
3.000,35,864.443,59.171,7,-42.607
3.000,36,761.117,730.799,5,-44.778
3.000,37,368.397,396.425,9,-41.218
3.000,38,175.422,659.024,7,-45.824
3.000,39,359.375,337.891,8,-39.379
3.000,40,376.540,19.784,1,-49.078
3.000,41,812.521,335.941,12,-40.365
3.000,42,568.478,228.383,9,-43.900
3.000,43,923.560,840.773,4,-44.988
3.000,44,686.847,569.345,6,-38.008
3.000,45,107.372,568.489,5,-35.826
3.000,46,337.008,606.312,7,-45.022
3.000,47,862.280,324.462,11,-40.224
3.000,48,808.988,262.032,13,-44.229
3.000,49,830.919,346.532,10,-37.942
3.000,50,104.614,643.276,7,-46.590
3.000,51,199.439,551.665,8,-42.751
3.000,52,223.896,889.152,5,-36.208
3.000,53,527.906,776.926,6,-41.073
3.000,54,724.182,778.296,6,-45.229
3.000,55,610.953,325.495,10,-42.921
3.000,56,102.891,547.592,5,-39.259
3.000,57,395.299,819.906,7,-47.093
3.000,58,674.284,159.622,6,-43.530
3.000,59,834.506,914.852,4,-39.017
3.000,60,560.690,195.292,8,-44.417
3.000,61,813.647,147.231,9,-44.925
3.000,62,467.172,45.504,2,-39.215
3.000,63,543.826,615.116,7,-42.079
3.000,64,901.967,530.059,4,-41.511
3.000,65,187.545,970.154,4,-44.086
3.000,66,434.159,430.332,9,-45.685
3.000,67,575.529,460.687,7,-47.820
3.000,68,283.387,565.063,6,-39.989
3.000,69,116.445,591.602,5,-34.460
3.000,70,640.433,630.626,7,-43.774
3.000,71,389.939,203.683,7,-45.304
3.000,72,704.996,193.683,9,-44.138
3.000,73,510.723,715.740,7,-42.034
3.000,74,460.570,479.296,7,-47.326
3.000,75,306.887,902.950,7,-43.826
3.000,76,431.964,299.118,7,-40.439
3.000,77,887.604,310.944,9,-35.977
3.000,78,904.962,397.097,9,-46.457
3.000,79,728.552,386.660,10,-46.005
3.000,80,342.376,773.406,4,-39.397
3.000,81,623.132,832.301,5,-37.188
3.000,82,620.562,303.707,10,-44.492
3.000,83,262.650,855.103,7,-44.132
3.000,84,378.210,335.459,8,-39.816
3.000,85,867.124,908.209,4,-40.580
3.000,86,501.952,966.398,1,-44.570
3.000,87,294.694,222.073,7,-43.474
3.000,88,879.617,116.676,8,-42.505
3.000,89,740.285,626.706,7,-43.713
3.000,90,188.301,257.793,7,-46.163
3.000,91,987.226,80.968,4,-40.121
3.000,92,845.237,190.329,12,-45.092
3.000,93,10.878,173.622,2,-43.060
3.000,94,507.554,108.612,3,-45.990
3.000,95,75.773,160.236,4,-46.215
3.000,96,837.984,376.554,10,-41.312
3.000,97,679.940,223.053,9,-41.186
3.000,98,864.559,462.521,8,-43.151
3.000,99,680.293,608.154,8,-40.088
4.000,0,967.144,29.594,3,-41.898
4.000,1,906.615,252.945,9,-48.382
4.000,2,684.417,361.466,11,-41.166
4.000,3,644.161,513.189,10,-43.757
4.000,4,234.309,343.867,4,-41.318
4.000,5,387.173,589.397,8,-45.044
4.000,6,467.847,281.948,10,-44.339
4.000,7,823.024,85.651,5,-38.556
4.000,8,680.334,251.022,12,-44.017
4.000,9,956.753,108.374,6,-42.468
4.000,10,366.279,725.400,6,-42.734
4.000,11,838.295,358.148,10,-39.712
4.000,12,176.495,928.699,3,-41.410
4.000,13,764.445,574.438,9,-45.701
4.000,14,895.576,559.996,5,-40.045
4.000,15,520.109,577.585,9,-45.666
4.000,16,773.487,794.660,6,-40.897
4.000,17,801.582,483.024,11,-46.183
4.000,18,626.696,816.308,6,-39.201
4.000,19,812.416,793.543,6,-43.268
4.000,20,415.753,948.193,3,-44.033
4.000,21,131.036,784.120,3,-44.655
4.000,22,679.360,449.134,8,-44.043
4.000,23,465.181,607.726,8,-44.671
4.000,24,128.397,20.352,2,-46.128
4.000,25,611.090,814.131,4,-28.336
4.000,26,298.271,547.116,6,-42.980
4.000,27,266.955,212.349,8,-46.643
4.000,28,289.346,165.166,6,-45.665
4.000,29,405.813,525.124,8,-41.755
4.000,30,189.423,772.026,5,-46.053
4.000,31,392.532,294.199,10,-42.302
4.000,32,180.006,194.719,6,-43.007
4.000,33,168.161,130.786,5,-44.220
4.000,34,558.032,770.371,6,-39.185
4.000,35,833.953,84.354,7,-40.273
4.000,36,758.319,691.562,5,-42.079
4.000,37,399.431,429.500,7,-43.578
4.000,38,193.806,639.436,8,-41.695
4.000,39,360.471,358.171,9,-43.339
4.000,40,341.089,26.926,1,-52.915
4.000,41,805.591,340.914,13,-41.983
4.000,42,584.938,232.113,9,-41.389
4.000,43,919.797,848.047,3,-42.367
4.000,44,673.385,552.366,9,-44.731
4.000,45,128.994,559.614,6,-39.662
4.000,46,347.013,606.101,8,-43.200
4.000,47,823.616,288.930,12,-42.309
4.000,48,785.269,261.340,15,-43.739
4.000,49,803.089,316.913,13,-41.140
4.000,50,144.533,656.395,8,-44.904
4.000,51,232.228,575.773,8,-39.336
4.000,52,238.031,867.572,6,-43.340
4.000,53,559.834,791.824,5,-34.094
4.000,54,744.481,733.692,5,-38.824
4.000,55,624.398,337.365,8,-43.908
4.000,56,105.400,532.628,6,-44.222
4.000,57,394.224,810.059,5,-43.471
4.000,58,674.891,163.314,6,-43.344
4.000,59,834.346,914.567,4,-45.764
4.000,60,520.215,225.348,9,-44.170
4.000,61,796.494,174.790,11,-44.749
4.000,62,500.644,83.472,2,-41.421
4.000,63,592.826,618.396,8,-40.322
4.000,64,889.635,516.777,6,-43.214
4.000,65,237.815,956.684,4,-44.948
4.000,66,421.878,417.313,8,-39.854
4.000,67,625.907,428.709,7,-40.164
4.000,68,247.623,578.469,9,-39.450
4.000,69,144.783,588.712,6,-37.746
4.000,70,602.262,630.412,9,-43.092
4.000,71,393.653,258.146,10,-42.147
4.000,72,705.075,194.302,8,-41.024
4.000,73,496.843,699.511,7,-44.808
4.000,74,465.900,483.667,7,-46.438
4.000,75,315.098,887.196,7,-42.666
4.000,76,414.440,320.146,9,-40.910
4.000,77,840.558,344.490,11,-36.596
4.000,78,867.033,417.070,10,-43.400
4.000,79,676.845,370.501,9,-40.243
4.000,80,336.786,743.715,5,-42.929
4.000,81,597.551,818.001,4,-30.038
4.000,82,594.513,294.252,10,-44.366
4.000,83,306.887,835.863,7,-44.394
4.000,84,414.909,360.856,8,-40.365
4.000,85,853.359,858.438,4,-39.639
4.000,86,515.578,944.159,1,-48.860
4.000,87,275.393,278.103,9,-42.917
4.000,88,857.781,146.913,9,-43.285
4.000,89,737.499,621.167,8,-45.947
4.000,90,213.906,306.994,4,-43.173
4.000,91,976.976,90.365,4,-38.370
4.000,92,840.771,197.217,12,-45.540
4.000,93,16.967,133.939,1,-48.884
4.000,94,496.460,155.291,5,-45.062
4.000,95,124.424,159.549,4,-41.697
4.000,96,825.732,402.075,11,-42.471
4.000,97,641.536,223.790,9,-43.430
4.000,98,816.024,470.273,10,-40.881
4.000,99,623.821,595.449,7,-41.398
5.000,0,965.376,29.729,2,-38.320
5.000,1,882.059,272.626,9,-44.362
5.000,2,691.230,370.878,15,-43.283
5.000,3,663.073,474.068,10,-44.556
5.000,4,289.027,359.164,8,-43.394
5.000,5,407.057,560.382,9,-41.217
5.000,6,459.396,227.470,9,-43.316
5.000,7,822.720,86.512,6,-43.305
5.000,8,691.380,287.765,15,-44.687
5.000,9,956.753,108.374,4,-40.133
5.000,10,356.098,709.530,7,-41.535
5.000,11,832.078,413.554,10,-36.675
5.000,12,161.820,946.185,2,-44.729
5.000,13,764.445,574.438,9,-42.287
5.000,14,858.166,588.634,6,-45.822
5.000,15,507.944,572.561,9,-42.155
5.000,16,742.762,743.570,8,-45.451
5.000,17,805.952,423.824,10,-38.029
5.000,18,643.433,803.111,5,-36.279
5.000,19,804.763,758.178,5,-43.402
5.000,20,421.578,939.615,5,-44.671
5.000,21,164.884,776.274,3,-42.083
5.000,22,643.928,479.340,9,-43.855
5.000,23,469.814,602.647,10,-44.809
5.000,24,135.956,25.611,3,-44.614
5.000,25,615.985,797.966,5,-31.284
5.000,26,328.181,596.904,9,-45.026
5.000,27,268.265,212.982,7,-43.550
5.000,28,300.102,184.235,4,-41.078
5.000,29,438.175,555.957,10,-42.782
5.000,30,214.370,782.411,6,-46.217
5.000,31,415.206,287.582,9,-40.738
5.000,32,214.870,211.982,6,-42.147
5.000,33,170.291,151.451,5,-39.220
5.000,34,608.642,793.326,5,-27.636
5.000,35,803.462,109.538,7,-44.474
5.000,36,755.520,652.325,7,-41.324
5.000,37,430.465,462.574,9,-42.964
5.000,38,212.191,619.847,8,-40.921
5.000,39,361.568,378.451,9,-39.483
5.000,40,305.638,34.067,0,-1000.000
5.000,41,798.661,345.886,15,-44.170
5.000,42,601.397,235.842,11,-41.902
5.000,43,916.034,855.321,3,-44.417
5.000,44,659.922,535.388,9,-44.781
5.000,45,150.616,550.739,6,-39.735
5.000,46,357.017,605.890,10,-40.525
5.000,47,784.953,253.398,12,-38.675
5.000,48,761.550,260.648,12,-40.335
5.000,49,775.259,287.294,15,-43.045
5.000,50,184.452,669.514,7,-44.851
5.000,51,265.018,599.881,10,-42.867
5.000,52,252.167,845.992,7,-45.012
5.000,53,591.761,806.723,5,-30.677
5.000,54,764.781,689.087,8,-42.942
5.000,55,637.842,349.235,9,-39.969
5.000,56,107.908,517.665,3,-41.477
5.000,57,393.149,800.211,7,-46.783
5.000,58,675.498,167.006,9,-46.988
5.000,59,834.186,914.283,2,-45.020
5.000,60,479.740,255.403,10,-44.954
5.000,61,779.342,202.348,12,-42.623
5.000,62,534.115,121.440,6,-49.328
5.000,63,641.827,621.677,10,-44.683
5.000,64,877.303,503.496,7,-43.167
5.000,65,288.085,943.214,5,-44.584
5.000,66,409.597,404.293,8,-43.295
5.000,67,676.286,396.731,13,-41.816
5.000,68,247.623,578.469,7,-39.580
5.000,69,173.121,585.821,6,-37.798
5.000,70,564.092,630.198,7,-41.769
5.000,71,397.368,312.609,10,-43.011
5.000,72,705.155,194.921,11,-42.673
5.000,73,482.964,683.282,10,-47.818
5.000,74,471.229,488.038,8,-43.251
5.000,75,323.308,871.442,6,-42.057
5.000,76,396.916,341.175,10,-41.901
5.000,77,793.511,378.036,13,-41.791
5.000,78,829.104,437.042,7,-31.942
5.000,79,625.137,354.343,9,-38.442
5.000,80,331.196,714.024,7,-44.609
5.000,81,571.970,803.702,6,-36.656
5.000,82,568.464,284.797,9,-45.332
5.000,83,351.125,816.624,8,-46.400
5.000,84,451.609,386.252,8,-39.765
5.000,85,839.593,808.667,5,-45.214
5.000,86,529.203,921.920,3,-44.049
5.000,87,256.091,334.134,7,-43.441
5.000,88,835.945,177.150,10,-42.515
5.000,89,734.712,615.628,8,-41.532
5.000,90,239.510,356.194,5,-38.974
5.000,91,966.726,99.763,3,-34.327
5.000,92,836.304,204.104,10,-41.927
5.000,93,23.056,94.256,1,-45.779
5.000,94,485.366,201.971,8,-43.178
5.000,95,173.074,158.863,5,-34.100
5.000,96,813.480,427.597,10,-36.797
5.000,97,603.132,224.526,11,-43.705
5.000,98,767.489,478.025,15,-46.154
5.000,99,567.349,582.745,10,-44.575
6.000,0,963.609,29.863,2,-42.059
6.000,1,857.502,292.307,9,-46.847
6.000,2,698.043,380.290,14,-42.650
6.000,3,681.985,434.947,14,-43.338
6.000,4,343.745,374.462,9,-39.621
6.000,5,426.941,531.368,13,-44.757
6.000,6,450.944,172.992,7,-44.942
6.000,7,822.415,87.372,5,-44.359
6.000,8,702.425,324.508,14,-42.664
6.000,9,938.841,122.369,4,-41.464
6.000,10,345.918,693.661,11,-43.488
6.000,11,825.862,468.961,11,-41.690
6.000,12,161.820,946.185,0,-1000.000
6.000,13,747.964,570.089,12,-43.710
6.000,14,820.757,617.272,10,-43.525
6.000,15,495.780,567.538,10,-38.530
6.000,16,712.037,692.480,11,-43.191
6.000,17,810.322,364.623,14,-43.369
6.000,18,660.169,789.914,5,-38.203
6.000,19,797.111,722.813,7,-44.601
6.000,20,427.404,931.038,5,-46.653
6.000,21,185.083,771.591,3,-39.864
6.000,22,608.495,509.546,9,-47.093
6.000,23,474.447,597.568,10,-39.323
6.000,24,143.515,30.869,4,-44.949
6.000,25,620.879,781.800,6,-38.671
6.000,26,358.091,646.691,12,-43.687
6.000,27,269.575,213.615,4,-36.835
6.000,28,310.857,203.304,6,-43.407
6.000,29,470.536,586.791,10,-36.323
6.000,30,239.317,792.796,6,-42.788
6.000,31,437.880,280.964,13,-42.366
6.000,32,249.734,229.245,4,-38.474
6.000,33,172.421,172.116,5,-41.209
6.000,34,659.253,816.280,6,-38.214
6.000,35,772.972,134.721,9,-40.623
6.000,36,752.722,613.087,9,-39.956
6.000,37,461.499,495.649,12,-41.373
6.000,38,230.576,600.259,9,-42.590
6.000,39,362.664,398.731,12,-43.327
6.000,40,270.187,41.208,2,-47.351
6.000,41,791.731,350.859,17,-42.585
6.000,42,617.857,239.572,13,-44.662
6.000,43,912.271,862.594,2,-47.520
6.000,44,646.460,518.409,10,-45.186
6.000,45,172.237,541.863,4,-40.060
6.000,46,367.021,605.679,13,-43.318
6.000,47,746.290,217.866,13,-40.957
6.000,48,737.831,259.956,16,-41.964
6.000,49,747.429,257.676,16,-42.372
6.000,50,224.371,682.633,10,-47.412
6.000,51,297.808,623.989,8,-38.281
6.000,52,266.302,824.412,7,-44.415
6.000,53,623.689,821.621,5,-36.859
6.000,54,785.081,644.483,8,-39.430
6.000,55,651.286,361.106,12,-45.296
6.000,56,110.417,502.701,2,-42.843
6.000,57,392.074,790.364,9,-43.408
6.000,58,676.105,170.698,10,-44.931
6.000,59,834.026,913.998,1,-43.255
6.000,60,439.266,285.459,12,-41.861
6.000,61,762.189,229.907,14,-43.269
6.000,62,567.587,159.408,7,-45.518
6.000,63,690.828,624.957,10,-40.946
6.000,64,864.971,490.214,8,-44.380
6.000,65,338.355,929.744,5,-47.903
6.000,66,397.315,391.274,11,-39.592
6.000,67,726.664,364.753,16,-43.698
6.000,68,256.655,576.200,9,-41.714
6.000,69,201.459,582.931,6,-40.215
6.000,70,538.908,630.057,7,-40.739
6.000,71,401.083,367.072,11,-39.674
6.000,72,705.235,195.540,12,-45.741
6.000,73,469.084,667.052,13,-46.008
6.000,74,476.559,492.409,11,-41.550
6.000,75,331.518,855.689,6,-42.607
6.000,76,379.392,362.204,10,-38.134
6.000,77,746.465,411.581,13,-40.934
6.000,78,791.175,457.014,11,-40.037
6.000,79,573.429,338.184,11,-48.544
6.000,80,325.606,684.333,11,-42.784
6.000,81,546.390,789.403,6,-44.949
6.000,82,542.415,275.342,10,-44.925
6.000,83,395.362,797.384,8,-41.045
6.000,84,488.309,411.649,12,-47.092
6.000,85,825.828,758.896,5,-44.109
6.000,86,542.828,899.681,5,-44.473
6.000,87,236.790,390.165,4,-44.701
6.000,88,814.109,207.387,11,-42.764
6.000,89,731.925,610.089,9,-38.622
6.000,90,265.115,405.395,6,-42.729
6.000,91,956.476,109.161,3,-38.417
6.000,92,831.838,210.992,11,-44.416
6.000,93,29.146,54.573,1,-43.185
6.000,94,474.272,248.651,10,-44.670
6.000,95,221.725,158.176,6,-44.719
6.000,96,801.228,453.119,11,-39.139
6.000,97,564.727,225.263,10,-43.901
6.000,98,718.954,485.777,15,-44.027
6.000,99,510.878,570.041,11,-40.316
7.000,0,961.841,29.997,2,-47.456
7.000,1,832.946,311.988,10,-43.115
7.000,2,704.855,389.702,14,-39.178
7.000,3,700.897,395.826,13,-40.026
7.000,4,398.463,389.759,12,-40.113
7.000,5,446.825,502.353,15,-43.695
7.000,6,442.493,118.514,1,-49.570
