method,run_id,time,source,target,ml_avg_reliability,ml_min_reliability,ml_hops,base_avg_reliability,base_min_reliability,base_hops
ours,1,1.0,3,94,0.8580873827290182,0.7557216296123082,7,0.823930021940531,0.6757224858882317,7
ours,1,1.0,94,13,0.8693691975760277,0.8498589634706737,3,0.8693691975760277,0.8498589634706737,3
ours,1,1.0,75,54,0.7743569050233697,0.7429140903601149,6,0.7308057219336718,0.6780792299859927,6
ours,1,1.0,11,27,0.8168339315441878,0.7573152930114023,6,0.8124097218580418,0.744042663952964,6
ours,1,1.0,29,64,0.830828999571743,0.7275768910644376,12,0.8184790525706426,0.6757224858882317,11
ours,1,2.0,77,3,0.8275528170545847,0.7323709029070927,12,0.7784331886854499,0.6797292637157661,11
ours,1,2.0,91,83,0.7885203605903476,0.7783715735677189,2,0.7885203605903476,0.7783715735677189,2
ours,1,2.0,89,69,0.8339047403512222,0.8004930153490023,5,0.8339047403512222,0.8004930153490023,5
ours,1,2.0,57,75,0.8339298030480673,0.7959220493036474,5,0.8339298030480673,0.7959220493036474,5
ours,1,2.0,89,54,0.8004930153490023,0.8004930153490023,2,0.8004930153490023,0.8004930153490023,2
ours,1,3.0,43,35,0.831742402465826,0.7652016113127228,10,0.8072916159417574,0.6828746211400368,10
ours,1,3.0,19,27,0.8032599057588803,0.7360853699232746,8,0.7224702879472896,0.7038867366149664,6
ours,1,3.0,97,43,0.8194680644964528,0.7090507497088897,9,0.7831949091052827,0.7090507497088897,8
ours,1,3.0,13,11,0.8465927411859493,0.8302277442525284,3,0.8465927411859493,0.8302277442525284,3
ours,1,3.0,48,12,0.8352329889972234,0.7360853699232746,13,0.8113067549437648,0.723390879910362,12
ours,1,4.0,45,44,0.555426674579431,0.5545984046341657,2,0.555426674579431,0.5545984046341657,2
ours,1,4.0,77,33,0.5960605299299712,0.5679687273296863,3,0.5910753672061605,0.5604909832439703,3
ours,1,4.0,5,93,0.7483249530104148,0.6496089064539958,7,0.739820874727843,0.6496089064539958,7
ours,1,4.0,58,68,0.6935051519209673,0.6935051519209673,2,0.6935051519209673,0.6935051519209673,2
ours,1,4.0,15,48,0.7745445751975841,0.7745445751975841,1,0.7745445751975841,0.7745445751975841,1
ours,1,5.0,10,70,0.7079155683236285,0.584478646499607,9,0.6571135529275951,0.5059775232848603,8
ours,1,5.0,37,80,0.7610953598546111,0.5837154625171492,10,0.6820450033466492,0.5119156351907002,9
ours,1,5.0,79,46,0.7836613385635678,0.7836613385635678,1,0.7836613385635678,0.7836613385635678,1
ours,1,5.0,73,24,0.7133069989408206,0.5888059094039781,6,0.5332772988122229,0.3951295070616718,5
ours,1,5.0,90,8,0.7937022706320404,0.7536103907827287,5,0.7891989917278159,0.7536103907827287,5
ours,1,6.0,5,84,0.7265807462958535,0.5727978173328051,7,0.7095122566264613,0.5727978173328051,7
ours,1,6.0,29,98,0.6081751638799091,0.4448057180998868,2,0.6081751638799091,0.4448057180998868,2
ours,1,6.0,37,10,0.761323610417331,0.5975795837849365,11,0.6435466496905858,0.3480686830889306,8
ours,1,6.0,29,12,0.6201318554898377,0.4448057180998868,2,0.6201318554898377,0.4448057180998868,2
ours,1,6.0,48,35,0.7610132108753918,0.7313998181432291,4,0.7610132108753918,0.7313998181432291,4
ours,1,7.0,58,81,0.7031105422628454,0.25236786970278136,4,0.7031105422628454,0.25236786970278136,4
ours,1,7.0,46,20,0.7758041064800946,0.6952683144404415,5,0.6206853152926705,0.40640287078721105,4
ours,1,7.0,47,45,0.6317697555399355,0.6125360879865709,4,0.3360699634350592,0.31903404302285443,3
ours,1,7.0,26,85,0.7809917406901027,0.6244242483622569,8,0.7789861424678923,0.6244242483622569,8
ours,1,7.0,34,89,0.6466778451402414,0.45015997045499,3,0.4655054620684829,0.45015997045499,2
ours,1,8.0,87,82,0.7659368758378378,0.6655537183327872,9,0.4579007538278149,0.3266193140490907,4
ours,1,8.0,9,77,0.7554886442558845,0.6655537183327872,10,0.47720032782404687,0.3266193140490907,6
ours,1,8.0,68,93,0.6168795421131966,0.4540067934895181,3,0.6168795421131966,0.4540067934895181,3
ours,1,8.0,31,20,0.6756844397473037,0.4743465654757655,5,0.547158613832671,0.457037055679562,4
ours,1,8.0,59,48,0.5343249086177047,0.26690022076346764,3,0.5343249086177047,0.26690022076346764,3
ours,1,9.0,34,81,0.6516453970650471,0.37877685677630546,4,0.5959802906137056,0.37877685677630546,4
ours,1,9.0,88,71,0.48913752522100723,0.3388957182370449,2,0.4035429275051664,0.3388957182370449,2
ours,1,9.0,28,87,0.7166759413690611,0.630241019102697,2,0.46503580227374774,0.46503580227374774,2
ours,1,9.0,41,98,0.5202043093457546,0.2918997274623798,3,0.5202043093457546,0.2918997274623798,3
ours,1,9.0,99,7,0.7481415285506958,0.5712931869321807,5,0.5835843414655214,0.46503580227374774,5
ours,1,10.0,29,4,0.6043898483982549,0.34192332201544784,3,0.602137734632199,0.34192332201544784,3
ours,1,10.0,40,51,0.3203723821361734,0.14248411803747718,3,0.32063537024264505,0.14248411803747718,3
ours,1,10.0,34,8,0.5795827744267839,0.41713783214095934,4,0.34017069829716834,0.2567846169817962,3
ours,1,10.0,27,72,0.7139766130831013,0.5870491949105534,8,0.6350854478805923,0.41713783214095934,8
ours,1,10.0,91,40,0.6533929037445743,0.5732432770262815,4,0.5733787030646661,0.4767097063555952,4
ours,1,11.0,27,83,0.5651075239379063,0.3179396985150911,7,0.5006517502035972,0.18212071917541572,7
ours,1,11.0,63,50,0.4793151272029375,0.3280192762249954,3,0.4793151272029375,0.3280192762249954,3
ours,1,11.0,82,58,0.5403486399161305,0.3280192762249954,3,0.3963068005008065,0.3280192762249954,3
ours,1,11.0,18,33,0.6059043510057236,0.3179396985150911,7,0.531582463948622,0.19164211717795365,6
ours,1,11.0,17,31,0.661247573545572,0.6465133217616981,3,0.5109422639998148,0.4321060462809678,3
ours,1,12.0,95,71,0.6012450603001744,0.3229209251877021,5,0.4617118912254355,0.3229209251877021,4
ours,1,12.0,68,33,0.25928904161532457,0.19565715804294703,2,0.20717556154517963,0.19565715804294703,2
ours,1,12.0,95,74,0.7297509488666846,0.5421250092610479,6,0.5287377258152702,0.343907858471199,6
ours,1,12.0,54,74,0.6830193954653068,0.5091051121530458,10,0.2947503984664804,0.16360598121664305,5
ours,1,12.0,51,46,0.2269767879365998,0.19147584819739927,2,0.2074483429968284,0.19147584819739927,2
ours,1,13.0,28,17,0.7116900708047509,0.5621956183741394,6,0.42636095729159607,0.22657735009048086,6
ours,1,13.0,65,63,0.4025315161195185,0.29947071619229526,2,0.25939536265921015,0.25939536265921015,2
ours,1,13.0,11,96,0.7173457580398528,0.573186314742862,10,0.4028815607640131,0.22657735009048086,5
ours,1,13.0,6,14,0.4904849408206513,0.3269212019097254,2,0.3425625955528638,0.3269212019097254,2
ours,1,13.0,19,80,0.7299730503629576,0.442491243286925,11,0.5270083340579562,0.22565281906251888,8
ours,1,14.0,20,87,0.3518867689058026,0.3518867689058026,1,0.3518867689058026,0.3518867689058026,1
ours,1,14.0,54,76,0.32466904824343173,0.3046604096254488,2,0.3144046054188573,0.3046604096254488,2
ours,1,14.0,8,49,0.6669456484836979,0.5310429624604038,8,0.4120484067878062,0.3518867689058026,4
ours,1,14.0,48,76,0.3046604096254488,0.3046604096254488,1,0.3046604096254488,0.3046604096254488,1
ours,1,14.0,59,67,0.5817796091560999,0.5799432942246081,2,0.5817796091560999,0.5799432942246081,2
ours,1,15.0,1,87,0.7883520788553492,0.5872013232441191,3,0.6967114314925533,0.5872013232441191,3
