method,run_id,time,source,target,ml_avg_reliability,ml_min_reliability,ml_hops,base_avg_reliability,base_min_reliability,base_hops
paper_baseline,1,1.0,3,94,0.3186152492932783,0.314090243133473,7,0.3186152492932783,0.314090243133473,7
paper_baseline,1,1.0,94,13,0.3264526189548908,0.322628660447692,3,0.3264526189548908,0.322628660447692,3
paper_baseline,1,1.0,75,54,0.32588164475189013,0.3171155023089335,6,0.32588164475189013,0.3171155023089335,6
paper_baseline,1,1.0,11,27,0.3152494235393755,0.30434774948535825,6,0.3152494235393755,0.30434774948535825,6
paper_baseline,1,1.0,29,64,0.3208036420284895,0.314090243133473,11,0.3208036420284895,0.314090243133473,11
paper_baseline,1,2.0,77,3,0.31909065619568033,0.3084593201164667,11,0.31909065619568033,0.3084593201164667,11
paper_baseline,1,2.0,91,83,0.3084593201164667,0.3084593201164667,2,0.3084593201164667,0.3084593201164667,2
paper_baseline,1,2.0,89,69,0.32241510728658596,0.31686003597856127,5,0.32241510728658596,0.31686003597856127,5
paper_baseline,1,2.0,57,75,0.3267941061923926,0.3236366165315925,5,0.3267941061923926,0.3236366165315925,5
paper_baseline,1,2.0,89,54,0.3252700246657147,0.3227580163572634,2,0.3252700246657147,0.3227580163572634,2
paper_baseline,1,3.0,43,35,0.32123731941173206,0.3095001947293262,10,0.32123731941173206,0.3095001947293262,10
paper_baseline,1,3.0,19,27,0.3255040862249093,0.32182007010255753,6,0.3255040862249093,0.32182007010255753,6
paper_baseline,1,3.0,97,43,0.3242551719181766,0.31083779974407,8,0.3242551719181766,0.31083779974407,8
paper_baseline,1,3.0,13,11,0.33197518187946806,0.31083779974407,3,0.33197518187946806,0.31083779974407,3
paper_baseline,1,3.0,48,12,0.32288636771078677,0.3095001947293262,12,0.32288636771078677,0.3095001947293262,12
paper_baseline,1,4.0,45,44,0.33887163628270994,0.33525407540661345,2,0.33887163628270994,0.33525407540661345,2
paper_baseline,1,4.0,77,33,0.33308268887199177,0.3271862539641328,3,0.33308268887199177,0.3271862539641328,3
paper_baseline,1,4.0,5,93,0.33070813915596103,0.3176862446913077,7,0.33070813915596103,0.3176862446913077,7
paper_baseline,1,4.0,58,68,0.3286592422247363,0.3286592422247363,2,0.3286592422247363,0.3286592422247363,2
paper_baseline,1,4.0,15,48,0.3209326607444224,0.3209326607444224,1,0.3209326607444224,0.3209326607444224,1
paper_baseline,1,5.0,10,70,0.3243706765453163,0.31108538417314224,8,0.3243706765453163,0.31108538417314224,8
paper_baseline,1,5.0,37,80,0.3244214581414374,0.31679883533317266,9,0.3244214581414374,0.31679883533317266,9
paper_baseline,1,5.0,79,46,0.32422915005285513,0.32422915005285513,1,0.32422915005285513,0.32422915005285513,1
paper_baseline,1,5.0,73,24,0.33764377515253796,0.3226689972366982,5,0.33764377515253796,0.3226689972366982,5
paper_baseline,1,5.0,90,8,0.3232493833571336,0.31642931325457624,5,0.3232493833571336,0.31642931325457624,5
paper_baseline,1,6.0,5,84,0.3539493247070505,0.3159448081452496,7,0.3539493247070505,0.3159448081452496,7
paper_baseline,1,6.0,29,98,0.33228561228463865,0.32281411694886963,2,0.33228561228463865,0.32281411694886963,2
paper_baseline,1,6.0,37,10,0.3248294495651045,0.3126932920383525,8,0.3248294495651045,0.3126932920383525,8
paper_baseline,1,6.0,29,12,0.32523455610986446,0.323450696389162,2,0.32523455610986446,0.323450696389162,2
paper_baseline,1,6.0,48,35,0.3242649663396451,0.3226847610392982,4,0.3242649663396451,0.3226847610392982,4
paper_baseline,1,7.0,58,81,0.31446602436898424,0.3086433856938855,4,0.31446602436898424,0.3086433856938855,4
paper_baseline,1,7.0,46,20,0.33228804640121656,0.32160262235492665,4,0.33228804640121656,0.32160262235492665,4
paper_baseline,1,7.0,47,45,0.3486562440113005,0.33223159807867064,3,0.3486562440113005,0.33223159807867064,3
paper_baseline,1,7.0,26,85,0.31276475074646237,0.28603067450529485,8,0.31276475074646237,0.28603067450529485,8
paper_baseline,1,7.0,34,89,0.34904462083418336,0.3476944975056101,2,0.34904462083418336,0.3476944975056101,2
paper_baseline,1,8.0,87,82,0.33901548098143586,0.32654364718755224,4,0.33901548098143586,0.32654364718755224,4
paper_baseline,1,8.0,9,77,0.3368262056218047,0.3153161106062572,6,0.3368262056218047,0.3153161106062572,6
paper_baseline,1,8.0,68,93,0.3249513485778577,0.3153161106062572,3,0.3249513485778577,0.3153161106062572,3
paper_baseline,1,8.0,31,20,0.33980981435804236,0.32677593145527717,4,0.33980981435804236,0.32677593145527717,4
paper_baseline,1,8.0,59,48,0.3234913422723366,0.30753899222937253,3,0.3234913422723366,0.30753899222937253,3
paper_baseline,1,9.0,34,81,0.33511127390070655,0.32244784035904384,4,0.33511127390070655,0.32244784035904384,4
paper_baseline,1,9.0,88,71,0.3401355223382356,0.3329303054468574,2,0.3401355223382356,0.3329303054468574,2
paper_baseline,1,9.0,28,87,0.3303262643496968,0.3156383412770535,2,0.3303262643496968,0.3156383412770535,2
paper_baseline,1,9.0,41,98,0.33095643008599,0.31821294115465215,3,0.33095643008599,0.31821294115465215,3
paper_baseline,1,9.0,99,7,0.3334389199013371,0.3249858125776599,5,0.3334389199013371,0.3249858125776599,5
paper_baseline,1,10.0,29,4,0.3317999480721797,0.32126601880528927,3,0.3317999480721797,0.32126601880528927,3
paper_baseline,1,10.0,40,51,0.35034513454869165,0.33216251553198195,3,0.35034513454869165,0.33216251553198195,3
paper_baseline,1,10.0,34,8,0.3513224903098979,0.3479244635670704,3,0.3513224903098979,0.3479244635670704,3
paper_baseline,1,10.0,27,72,0.32509569555460766,0.3008931585096716,8,0.32509569555460766,0.3008931585096716,8
paper_baseline,1,10.0,91,40,0.3296931622188016,0.32069110365163855,4,0.3296931622188016,0.32069110365163855,4
paper_baseline,1,11.0,27,83,0.33390574040858717,0.3133706719089038,7,0.33390574040858717,0.3133706719089038,7
paper_baseline,1,11.0,63,50,0.33442462120509636,0.3187433467480203,3,0.33442462120509636,0.3187433467480203,3
paper_baseline,1,11.0,82,58,0.345692340028313,0.333282209157842,3,0.345692340028313,0.333282209157842,3
paper_baseline,1,11.0,18,33,0.3332356904854633,0.3043931863281467,6,0.3332356904854633,0.3043931863281467,6
paper_baseline,1,11.0,17,31,0.36257968382372363,0.3249654123625303,3,0.36257968382372363,0.3249654123625303,3
paper_baseline,1,12.0,95,71,0.34020309805085214,0.329607388587007,4,0.34020309805085214,0.329607388587007,4
paper_baseline,1,12.0,68,33,0.3591550138165093,0.3479328091096233,2,0.3591550138165093,0.3479328091096233,2
paper_baseline,1,12.0,95,74,0.3711532955368624,0.329607388587007,6,0.3711532955368624,0.329607388587007,6
paper_baseline,1,12.0,54,74,0.38802259265169015,0.3478451809128169,5,0.38802259265169015,0.3478451809128169,5
paper_baseline,1,12.0,51,46,0.36716093915172204,0.35974407002837494,2,0.36716093915172204,0.35974407002837494,2
paper_baseline,1,13.0,28,17,0.3518293274729079,0.3342034643274421,6,0.3518293274729079,0.3342034643274421,6
paper_baseline,1,13.0,65,63,0.34935711503866773,0.3289096085013261,2,0.34935711503866773,0.3289096085013261,2
paper_baseline,1,13.0,11,96,0.34807217967025833,0.3312635151425234,5,0.34807217967025833,0.3312635151425234,5
paper_baseline,1,13.0,6,14,0.3558079876115058,0.35286595204094884,2,0.3558079876115058,0.35286595204094884,2
paper_baseline,1,13.0,19,80,0.3365970122957661,0.3063655162181711,8,0.3365970122957661,0.3063655162181711,8
paper_baseline,1,14.0,20,87,0.3458478143951337,0.3458478143951337,1,0.3458478143951337,0.3458478143951337,1
paper_baseline,1,14.0,54,76,0.34404285899742215,0.33087127464253263,2,0.34404285899742215,0.33087127464253263,2
paper_baseline,1,14.0,8,49,0.34436056916600216,0.3286267873370302,4,0.34436056916600216,0.3286267873370302,4
paper_baseline,1,14.0,48,76,0.3579493147382282,0.3579493147382282,1,0.3579493147382282,0.3579493147382282,1
paper_baseline,1,14.0,59,67,0.32470878692902577,0.32317853897368365,2,0.32470878692902577,0.32317853897368365,2
paper_baseline,1,15.0,1,87,0.32401386596440473,0.30695016783813367,3,0.32401386596440473,0.30695016783813367,3
paper_baseline,1,15.0,92,14,0.3257249494631035,0.29881048200144655,5,0.3257249494631035,0.29881048200144655,5
paper_baseline,1,15.0,87,68,0.36092148699022647,0.3444225811835834,2,0.36092148699022647,0.3444225811835834,2
paper_baseline,1,15.0,96,34,0.3441033641809314,0.3156332412232712,6,0.3441033641809314,0.3156332412232712,6
paper_baseline,1,15.0,98,82,0.3375296266760632,0.3076502661300793,3,0.3375296266760632,0.3076502661300793,3
paper_baseline,1,16.0,43,14,0.34901850237693416,0.3361363847109661,3,0.34901850237693416,0.3361363847109661,3
paper_baseline,1,16.0,37,55,0.3896871607265249,0.35227110031342146,3,0.3896871607265249,0.35227110031342146,3
paper_baseline,1,16.0,20,58,0.33169331058400253,0.29579495929229804,4,0.33169331058400253,0.29579495929229804,4
paper_baseline,1,16.0,0,92,0.3318409472058329,0.2865346525472451,7,0.3318409472058329,0.2865346525472451,7
paper_baseline,1,16.0,92,33,0.3238098329036925,0.2865346525472451,5,0.3238098329036925,0.2865346525472451,5
paper_baseline,1,17.0,64,97,0.35639148012833594,0.3554544611561359,2,0.35639148012833594,0.3554544611561359,2
paper_baseline,1,17.0,22,64,0.3562414921830085,0.3554544611561359,4,0.3562414921830085,0.3554544611561359,4
paper_baseline,1,17.0,38,81,0.3360448155635096,0.32819096455926267,2,0.3360448155635096,0.32819096455926267,2
paper_baseline,1,17.0,64,77,0.3449395411806161,0.3449395411806161,2,0.3449395411806161,0.3449395411806161,2
paper_baseline,1,17.0,25,19,0.34981828353826283,0.3362332857328314,6,0.34981828353826283,0.3362332857328314,6
paper_baseline,1,18.0,47,97,0.35491037814580595,0.3512492349919327,4,0.35491037814580595,0.3512492349919327,4
paper_baseline,1,18.0,20,69,0.35380239146158265,0.34953051686726877,4,0.35380239146158265,0.34953051686726877,4
paper_baseline,1,18.0,99,67,0.3494659548227963,0.33244858218504847,4,0.3494659548227963,0.33244858218504847,4
